group	colour	yend	showSelected3
1	#FC8D62	0.135878083566856	validation
2	#66C2A5	0.135878083566856	subtrain
3	#66C2A5	0.135878083566856	subtrain
4	#66C2A5	0.135878083566856	subtrain
5	#FC8D62	0.135878083566856	validation
6	#66C2A5	0.135878083566856	subtrain
7	#66C2A5	0.135878083566856	subtrain
8	#FC8D62	0.135878083566856	validation
9	#FC8D62	0.135878083566856	validation
10	#FC8D62	0.135878083566856	validation
11	#FC8D62	0.135878083566856	validation
12	#66C2A5	0.135878083566856	subtrain
13	#FC8D62	0.135878083566856	validation
14	#FC8D62	0.135878083566856	validation
15	#66C2A5	0.135878083566856	subtrain
16	#FC8D62	0.135878083566856	validation
17	#FC8D62	0.135878083566856	validation
18	#66C2A5	0.135878083566856	subtrain
19	#FC8D62	0.135878083566856	validation
20	#FC8D62	0.135878083566856	validation
21	#66C2A5	0.135878083566856	subtrain
22	#FC8D62	0.135878083566856	validation
23	#66C2A5	0.135878083566856	subtrain
24	#66C2A5	0.135878083566856	subtrain
25	#FC8D62	0.135878083566856	validation
26	#FC8D62	0.135878083566856	validation
27	#66C2A5	0.135878083566856	subtrain
28	#66C2A5	0.135878083566856	subtrain
29	#66C2A5	0.135878083566856	subtrain
30	#66C2A5	0.135878083566856	subtrain
31	#FC8D62	0.135878083566856	validation
32	#FC8D62	0.135878083566856	validation
33	#66C2A5	0.135878083566856	subtrain
34	#FC8D62	0.135878083566856	validation
35	#66C2A5	0.135878083566856	subtrain
36	#FC8D62	0.135878083566856	validation
37	#FC8D62	0.135878083566856	validation
38	#FC8D62	0.135878083566856	validation
39	#66C2A5	0.135878083566856	subtrain
40	#66C2A5	0.135878083566856	subtrain
41	#66C2A5	0.135878083566856	subtrain
42	#FC8D62	0.135878083566856	validation
43	#66C2A5	0.135878083566856	subtrain
44	#66C2A5	0.135878083566856	subtrain
45	#66C2A5	0.135878083566856	subtrain
46	#66C2A5	0.135878083566856	subtrain
47	#FC8D62	0.135878083566856	validation
48	#FC8D62	0.135878083566856	validation
49	#FC8D62	0.135878083566856	validation
50	#FC8D62	0.135878083566856	validation
51	#FC8D62	0.135878083566856	validation
52	#FC8D62	0.135878083566856	validation
53	#66C2A5	0.135878083566856	subtrain
54	#FC8D62	0.135878083566856	validation
55	#66C2A5	0.135878083566856	subtrain
56	#66C2A5	0.135878083566856	subtrain
57	#FC8D62	0.135878083566856	validation
58	#66C2A5	0.135878083566856	subtrain
59	#66C2A5	0.135878083566856	subtrain
60	#66C2A5	0.135878083566856	subtrain
61	#66C2A5	0.135878083566856	subtrain
62	#FC8D62	0.135878083566856	validation
63	#66C2A5	0.135878083566856	subtrain
64	#66C2A5	0.135878083566856	subtrain
65	#FC8D62	0.135878083566856	validation
66	#66C2A5	0.135878083566856	subtrain
67	#FC8D62	0.135878083566856	validation
68	#FC8D62	0.135878083566856	validation
69	#FC8D62	0.135878083566856	validation
70	#FC8D62	0.135878083566856	validation
71	#66C2A5	0.135878083566856	subtrain
72	#66C2A5	0.135878083566856	subtrain
73	#FC8D62	0.135878083566856	validation
74	#FC8D62	0.135878083566856	validation
75	#FC8D62	0.135878083566856	validation
76	#66C2A5	0.135878083566856	subtrain
77	#FC8D62	0.135878083566856	validation
78	#66C2A5	0.135878083566856	subtrain
79	#FC8D62	0.135878083566856	validation
80	#66C2A5	0.135878083566856	subtrain
81	#FC8D62	0.135878083566856	validation
82	#FC8D62	0.135878083566856	validation
83	#FC8D62	0.135878083566856	validation
84	#66C2A5	0.135878083566856	subtrain
85	#66C2A5	0.135878083566856	subtrain
86	#66C2A5	0.135878083566856	subtrain
87	#FC8D62	0.135878083566856	validation
88	#66C2A5	0.135878083566856	subtrain
89	#66C2A5	0.135878083566856	subtrain
90	#FC8D62	0.135878083566856	validation
91	#FC8D62	0.135878083566856	validation
92	#66C2A5	0.135878083566856	subtrain
93	#66C2A5	0.135878083566856	subtrain
94	#66C2A5	0.135878083566856	subtrain
95	#66C2A5	0.135878083566856	subtrain
96	#FC8D62	0.135878083566856	validation
97	#FC8D62	0.135878083566856	validation
98	#66C2A5	0.135878083566856	subtrain
99	#FC8D62	0.135878083566856	validation
100	#66C2A5	0.135878083566856	subtrain
